dataset,pocket,regime,seed,dca,naive_fusion,raw_gap,isolation_forest,slice_finder
adult,axis,clean,0,0.6235904708442895,0.6252283884290453,0.6311658396737848,0.5338227389610316,0.8522336582733756
adult,axis,clean,1,0.6197169350902879,0.6210644341830286,0.6222011988337026,0.5180663488130545,0.5788174343957653
adult,axis,clean,2,0.6314867848268723,0.6597431164485792,0.6683466161554338,0.5683668034679226,0.8518812320273861
adult,axis,clean,3,0.6336043153945075,0.6567399012791826,0.6519347383141578,0.5731255043982753,0.675026525453291
adult,axis,clean,4,0.6310806637611215,0.6497094454840933,0.6633748440526609,0.5193328531796841,0.8907576065366558
adult,axis,weak,0,0.5194650436769384,0.5673127111216159,0.5817110951811533,0.5229202204554136,0.8509409473694576
adult,axis,weak,1,0.5125819974721878,0.5360025528400345,0.5534472100211486,0.5133881443105455,0.6551275794321182
adult,axis,weak,2,0.5294171020898163,0.5771343250887491,0.5927623115761351,0.552166485195613,0.7778241298516662
adult,axis,weak,3,0.5451197053406998,0.5972648331319628,0.6022996155558631,0.5474625494809201,0.7348068889984289
adult,axis,weak,4,0.5307000804359959,0.5575876588200532,0.58605676893529,0.5232915558619784,0.7736832196559309
adult,ball,clean,0,0.3440167496548031,0.3046392233778068,0.3321804322009141,0.47571453319579643,0.2399558500946766
adult,ball,clean,1,0.5738184930791099,0.6630420798850412,0.6470473763874639,0.5741415128471766,0.8017250788275055
adult,ball,clean,2,0.3491342094886535,0.34145743918473626,0.3442424687163134,0.4637876494517953,0.37216289485160825
adult,ball,clean,3,0.4552820814827234,0.503886454952095,0.4893891141177055,0.5192625210218293,0.7313669146944501
adult,ball,clean,4,0.4418764127760705,0.3982861606813186,0.39575285899200185,0.46646585720529143,0.3338649651970003
adult,ball,weak,0,0.477832158835624,0.40109719899364593,0.40054776350029886,0.4458076864307082,0.2515840973025643
adult,ball,weak,1,0.5361826262273474,0.6018308788320571,0.5898461719951382,0.5462517399177658,0.8153831720401892
adult,ball,weak,2,0.46306102913958774,0.3983451448805198,0.3962855745548667,0.4862141850961326,0.37672557810320745
adult,ball,weak,3,0.4867313418347986,0.49398964943414647,0.4932946112128498,0.4673824345054779,0.663178161541466
adult,ball,weak,4,0.47761619306689507,0.4247556684047653,0.41274727499966324,0.47728434889107385,0.273295623697529
compas,axis,clean,0,0.5812105926860025,0.7183858764186632,0.6747540983606557,0.7017474328949738,0.5563177805800756
compas,axis,clean,1,0.5786219081272085,0.5110556869204814,0.5721924068120832,0.6012912139004756,0.3655018730572013
compas,axis,clean,2,0.5853566009104704,0.6703970662620131,0.6893569527830925,0.5899639330562336,0.6635382991357128
compas,axis,clean,3,0.5510781400708187,0.5691679775244531,0.6772635762789764,0.6789401795713333,0.502417804361758
compas,axis,clean,4,0.5960616006059076,0.617789473002803,0.6642585723625865,0.5234174224328225,0.5949481806588598
compas,axis,weak,0,0.5802017654476671,0.6459376688884886,0.6480417942713024,0.5911151143938029,0.40919473968654296
compas,axis,weak,1,0.5831650681474003,0.6967075373947236,0.6810754802199845,0.48756608836579085,0.4425861473471665
compas,axis,weak,2,0.578907435508346,0.5705119746651712,0.5873413824195641,0.615392228013459,0.49049394119328804
compas,axis,weak,3,0.5756122191365817,0.48287145825646205,0.5761818758536759,0.6203432181720492,0.5481683594533886
compas,axis,weak,4,0.5862156021206766,0.5187565947475061,0.6033765107231404,0.5042432952051735,0.4905585872513416
compas,ball,clean,0,0.5928770495312299,0.8010169527805129,0.8043550665696305,0.5605813605034462,0.8376764844385461
compas,ball,clean,1,0.6141671231756342,0.8278331594347954,0.8757234806753986,0.5427723597282567,0.93343390701631
compas,ball,clean,2,0.6036713405134457,0.8836814881065636,0.8552863480788389,0.5759255256405776,0.7893509380267676
compas,ball,clean,3,0.5904000577621552,0.8530512949873053,0.8483428110793663,0.6563183754942229,0.9487742450248688
compas,ball,clean,4,0.6088104813371873,0.8376358342758997,0.8057995056763436,0.6084374345440074,0.5181450295337439
compas,ball,weak,0,0.5351209383963355,0.5660143841774049,0.5341542874266878,0.5124911169142514,0.6338184425703155
compas,ball,weak,1,0.5004704775346978,0.6334901051934323,0.5932337070836021,0.4807648782447058,0.9281600643930699
compas,ball,weak,2,0.5766477650487037,0.6756523776302523,0.6254588959919165,0.5758146442021735,0.6342707345053976
compas,ball,weak,3,0.5559059061803678,0.6282564328944505,0.5939622096583441,0.566718945072943,0.9433937733859042
compas,ball,weak,4,0.5785580830296175,0.7020066189099745,0.6428302123916049,0.5788320556323573,0.5044009467554773
taiwan_credit,axis,clean,0,0.5880567693744165,0.9288582633053222,0.8188414565826331,0.8863387488328666,0.4132623716153128
taiwan_credit,axis,clean,1,0.6163984038560308,0.9549342183240488,0.8732709098810794,0.9010169491525424,0.7190976255383035
taiwan_credit,axis,clean,2,0.6174777603349032,0.9372460738833129,0.8379488355411309,0.9098374872853203,0.7612844619265164
taiwan_credit,axis,clean,3,0.5687165503199534,0.9396095113438044,0.8476643397324025,0.9228301337987201,0.7624374636416522
taiwan_credit,axis,clean,4,0.5844706967960688,0.9479501974291293,0.8554998497821843,0.8967628060687998,0.7540887411747033
taiwan_credit,axis,weak,0,0.504663305322129,0.5924892623716153,0.5818039215686275,0.556937441643324,0.4813198879551821
taiwan_credit,axis,weak,1,0.4820236260914227,0.6193615424123899,0.5683726443048478,0.5291754573110505,0.4825080004741022
taiwan_credit,axis,weak,2,0.5317896389324961,0.6152361549632818,0.5529121761063975,0.5666513796529847,0.45271829561556687
taiwan_credit,axis,weak,3,0.5248923792902851,0.6280213787085515,0.5510253054101222,0.5732402559627691,0.5055497382198952
taiwan_credit,axis,weak,4,0.5255484291508402,0.5896813772827743,0.6145129187321616,0.5140239060924054,0.5084142095323934
taiwan_credit,ball,clean,0,0.6964278332967199,0.9415826528863477,0.8581351053982618,0.7287562833266532,0.8404907020931031
taiwan_credit,ball,clean,1,0.6751540439706305,0.9586850517783735,0.9158184011194922,0.6135239157705635,0.8996567305383492
